id,name,display_name,active,brand_id,brand_name,strain_id,strain_name,product_type_id,product_type_name,product_family_id,product_family_name,flower_type,concentrate_type,description,instructions,ingredients,allergens,solvent,servings,pack_size,weight,weight_unit,cost,min_reorder_qty,test_result_unit,thc,cbd,thc_per_serving,cbd_per_serving,sku_reference,quantity_on_hand,image_url,source
,Gmo Cookies - Flower [Phat Panda],Gmo Cookies - Flower [Phat Panda],true,,phat panda,,gmo cookies,,Flower,,,,,"Chemdawg x Girl Scout Cookies - (Flavors: Coffee, Herbal & Sweet), (Effects: Relaxing, Drowsy & Uplifting), (Aromas: Spicy, Coffe & Pungent)",,,,,,,,,,,,,,,,,,,
,Good Ol' Fashion - Flower [Phat Panda],Good Ol' Fashion - Flower [Phat Panda],true,,phat panda,,good ol' fashion,,Flower,,,,,"Terpee Slurpee x Trophy Wife (Flavors: Citrus, Fruity, Sweet & Sour) , (Effects: Euphoria, Calming & Relaxing), (Aromas: Herbal, Citrus & Diesel)",,,,,,,,,,,,,,,,,,,
,Ice Cream Cake - Flower [Phat Panda],Ice Cream Cake - Flower [Phat Panda],true,,phat panda,,ice cream cake,,Flower,,,,,"Wedding Cake x Gelato #33 (Flavors: Cheesy, Creamy, Nutty & Sweet) - (Effects: Hungry, Drowsy, & Uplifting) - (Aromas: Pungent, Nutty, Vanilla & Earthy)",,,,,,,,,,,,,,,,,,,
,Papaya Cake - Flower [Phat Panda],Papaya Cake - Flower [Phat Panda],true,,phat panda,,papaya cake,,Flower,,,,,"Wedding Cake x Papaya (Flavors: Creamy, Sweet, Sour, & Spicy), (Effects: Hungry, Drowsy & Calming), (Aromas: Citrus, Lemons, Earthy & Tropical)",,,,,,,,,,,,,,,,,,,
,Pineapple Donut - Flower [Phat Panda],Pineapple Donut - Flower [Phat Panda],true,,phat panda,,pineapple donut,,Flower,,,,,"Franken Cakes x Gorilla Diesel #3 (Flavors: Pineapple, Sour & Tropical), (Effects: Creative, Uplifting & Happy), (Aromas: Nutty, Sour & Earthy)",,,,,,,,,,,,,,,,,,,
,Sunset Sherbet - Flower [Phat Panda],Sunset Sherbet - Flower [Phat Panda],true,,phat panda,,sunset sherbet,,Flower,,,,,"Pink Panties x Girl Scout Cookies (Flavors: Creamy, Nutty & Sweet), (Effects: Relaxing, Euphoria & Creative), (Aromas: Fruity, Sweet & Skunky)",,,,,,,,,,,,,,,,,,,
,Vanilla Mashmellows - Flower [Phat Panda],Vanilla Mashmellows - Flower [Phat Panda],true,,phat panda,,vanilla mashmellows,,Flower,,,,,"Jet Fuel Gelato x Chemdog x Triangle Kush - (Flavors: Vanilla, Buttery & Peppery), (Effects: Hungry, Happy & Relaxing), (Aromas: Creamy, Earthy & Spicy)",,,,,,,,,,,,,,,,,,,
,Cream Puff - Flower [Phat Panda],Cream Puff - Flower [Phat Panda],true,,phat panda,,cream puff,,Flower,,,,,"Whipped Cream x Grateful Puff - (Flavors: Creamy, Fruity & Spicy), (Effects: Calming, Euphoria & Relaxing), (Aromas: Pungent, Sweet & Creamy)",,,,,,,,,,,,,,,,,,,
,Dutch Cake - Flower [Phat Panda],Dutch Cake - Flower [Phat Panda],true,,phat panda,,dutch cake,,Flower,,,,,"Dutch Treat x Wedding Cake - (Flavors: Creamy, Chocolate & Pine), (Effects: Relaxing, Uplifting & Calming), (Aromas: Woody, Pine & Sweet)",,,,,,,,,,,,,,,,,,,
,Gelato - Flower [Phat Panda],Gelato - Flower [Phat Panda],true,,phat panda,,gelato,,Flower,,,,,"Sunset Sherbet x Thin Min Girl Scout Cookies - (Flavors: Woody, Lavendar & Sweet), (Effects: Creative, Relaxing & Euphoria), (Aromas: Earthy, Sweet & Berry)",,,,,,,,,,,,,,,,,,,
,Gmo Cookies - Flower [Phat Panda],Gmo Cookies - Flower [Phat Panda],true,,phat panda,,gmo cookies,,Flower,,,,,"Chemdawg x Girl Scout Cookies - (Flavors: Coffee, Herbal & Sweet), (Effects: Relaxing, Drowsy & Uplifting), (Aromas: Spicy, Coffe & Pungent)",,,,,,,,,,,,,,,,,,,
,Good Ol' Fashion - Flower [Phat Panda],Good Ol' Fashion - Flower [Phat Panda],true,,phat panda,,good ol' fashion,,Flower,,,,,"Terpee Slurpee x Trophy Wife (Flavors: Citrus, Fruity, Sweet & Sour) , (Effects: Euphoria, Calming & Relaxing), (Aromas: Herbal, Citrus & Diesel)",,,,,,,,,,,,,,,,,,,
,Ice Cream Cake - Flower [Phat Panda],Ice Cream Cake - Flower [Phat Panda],true,,phat panda,,ice cream cake,,Flower,,,,,"Wedding Cake x Gelato #33 (Flavors: Cheesy, Creamy, Nutty & Sweet) - (Effects: Hungry, Drowsy, & Uplifting) - (Aromas: Pungent, Nutty, Vanilla & Earthy)",,,,,,,,,,,,,,,,,,,
,Kauai - Flower [Phat Panda],Kauai - Flower [Phat Panda],true,,phat panda,,kauai,,Flower,,,,,"Chem Cake x Fleetwood MAC (Flavors: Berry, Skunky, Sweet & Tropical), (Effects: Euphoria, Relaxing & Giggly), (Aromas: Earthy, Sweet & Pine)",,,,,,,,,,,,,,,,,,,
,Papaya Cake - Flower [Phat Panda],Papaya Cake - Flower [Phat Panda],true,,phat panda,,papaya cake,,Flower,,,,,"Wedding Cake x Papaya (Flavors: Creamy, Sweet, Sour, & Spicy), (Effects: Hungry, Drowsy & Calming), (Aromas: Citrus, Lemons, Earthy & Tropical)",,,,,,,,,,,,,,,,,,,
,Pineapple Donut - Flower [Phat Panda],Pineapple Donut - Flower [Phat Panda],true,,phat panda,,pineapple donut,,Flower,,,,,"Franken Cakes x Gorilla Diesel #3 (Flavors: Pineapple, Sour & Tropical), (Effects: Creative, Uplifting & Happy), (Aromas: Nutty, Sour & Earthy)",,,,,,,,,,,,,,,,,,,
,Sunset Sherbet - Flower [Phat Panda],Sunset Sherbet - Flower [Phat Panda],true,,phat panda,,sunset sherbet,,Flower,,,,,"Pink Panties x Girl Scout Cookies (Flavors: Creamy, Nutty & Sweet), (Effects: Relaxing, Euphoria & Creative), (Aromas: Fruity, Sweet & Skunky)",,,,,,,,,,,,,,,,,,,
,Cream Pie - Flower [Phat Panda],Cream Pie - Flower [Phat Panda],true,,phat panda,,cream pie,,Flower,,,,,"Cherry Pie x Cookies & Cream - (Flavors: Creamy, Cherry & Earthy), (Effects: Mellow, Drowsy & Uplifting), (Aromas: Gassy, Spicy & Creamy)",,,,,,,,,,,,,,,,,,,
,Dutch Cake - Flower [Phat Panda],Dutch Cake - Flower [Phat Panda],true,,phat panda,,dutch cake,,Flower,,,,,"Dutch Treat x Wedding Cake - (Flavors: Creamy, Chocolate & Pine), (Effects: Relaxing, Uplifting & Calming), (Aromas: Woody, Pine & Sweet)",,,,,,,,,,,,,,,,,,,
,Gelato - Flower [Phat Panda],Gelato - Flower [Phat Panda],true,,phat panda,,gelato,,Flower,,,,,"Sunset Sherbet x Thin Min Girl Scout Cookies - (Flavors: Woody, Lavendar & Sweet), (Effects: Creative, Relaxing & Euphoria), (Aromas: Earthy, Sweet & Berry)",,,,,,,,,,,,,,,,,,,
,Gmo Cookies - Flower [Phat Panda],Gmo Cookies - Flower [Phat Panda],true,,phat panda,,gmo cookies,,Flower,,,,,"Chemdawg x Girl Scout Cookies - (Flavors: Coffee, Herbal & Sweet), (Effects: Relaxing, Drowsy & Uplifting), (Aromas: Spicy, Coffe & Pungent)",,,,,,,,,,,,,,,,,,,
,Good Ol' Fashion - Flower [Phat Panda],Good Ol' Fashion - Flower [Phat Panda],true,,phat panda,,good ol' fashion,,Flower,,,,,"Terpee Slurpee x Trophy Wife (Flavors: Citrus, Fruity, Sweet & Sour) , (Effects: Euphoria, Calming & Relaxing), (Aromas: Herbal, Citrus & Diesel)",,,,,,,,,,,,,,,,,,,
,Gorilla Cake - Flower [Phat Panda],Gorilla Cake - Flower [Phat Panda],true,,phat panda,,gorilla cake,,Flower,,,,,"Original Glue x Wedding Cake - (Flavors: Woody, Nutty & Sour), (Effects: Sociable, Uplifting & Calming), (Aromas: Earthy, Chocolate & Sour)",,,,,,,,,,,,,,,,,,,
,Kauai - Flower [Phat Panda],Kauai - Flower [Phat Panda],true,,phat panda,,kauai,,Flower,,,,,"Chem Cake x Fleetwood MAC (Flavors: Berry, Skunky, Sweet & Tropical), (Effects: Euphoria, Relaxing & Giggly), (Aromas: Earthy, Sweet & Pine)",,,,,,,,,,,,,,,,,,,
,Lemon Cake - Flower [Phat Panda],Lemon Cake - Flower [Phat Panda],true,,phat panda,,lemon cake,,Flower,,,,,"Lemon OG x Jesus OG - (Flavors: Citrus, Sour & Lemon), (Effects: Uplifting, Happy & Sociable), (Aromas: Lemon, Earthy & Spicy)",,,,,,,,,,,,,,,,,,,
,Papaya Cake - Flower [Phat Panda],Papaya Cake - Flower [Phat Panda],true,,phat panda,,papaya cake,,Flower,,,,,"Wedding Cake x Papaya (Flavors: Creamy, Sweet, Sour, & Spicy), (Effects: Hungry, Drowsy & Calming), (Aromas: Citrus, Lemons, Earthy & Tropical)",,,,,,,,,,,,,,,,,,,
,Pineapple Donut - Flower [Phat Panda],Pineapple Donut - Flower [Phat Panda],true,,phat panda,,pineapple donut,,Flower,,,,,"Franken Cakes x Gorilla Diesel #3 (Flavors: Pineapple, Sour & Tropical), (Effects: Creative, Uplifting & Happy), (Aromas: Nutty, Sour & Earthy)",,,,,,,,,,,,,,,,,,,
,Sponge Cake - Flower [Phat Panda],Sponge Cake - Flower [Phat Panda],true,,phat panda,,sponge cake,,Flower,,,,,"Lemon Kush x Georgia Pie - (Flavors: Lemon, Nutty & Citrus), (Effects: Uplifting, Energizing & Euphoria), (Aromas: Sour, Woody & Sweet)",,,,,,,,,,,,,,,,,,,
,Sunset Sherbet - Flower [Phat Panda],Sunset Sherbet - Flower [Phat Panda],true,,phat panda,,sunset sherbet,,Flower,,,,,"Pink Panties x Girl Scout Cookies (Flavors: Creamy, Nutty & Sweet), (Effects: Relaxing, Euphoria & Creative), (Aromas: Fruity, Sweet & Skunky)",,,,,,,,,,,,,,,,,,,
,12Th Man Down - Preroll 1g [Phat Panda],12Th Man Down - Preroll 1g [Phat Panda],true,,phat panda,,12th man down,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. OG Kush x Unknown - (Flavors: Diesel , Pine, & Earthy), (Effects: Relaxing, Uplifting, & Sociable)",,,,,,1,1,grams,,,,,,,,,,,
,AC/DC - Preroll 1g [Phat Panda],AC/DC - Preroll 1g [Phat Panda],true,,phat panda,,AC/DC,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. MK Ultra x G13 Haze - (Flavors: Peppery, Woody & Sour), (Effects: Sociable, Relaxing & Focus)",,,,,,1,1,grams,,,,,,,,,,,
,Alien Orange Gum - Preroll 1g [Phat Panda],Alien Orange Gum - Preroll 1g [Phat Panda],true,,phat panda,,Alien Orange Gum,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Orange Bubblegum x Alien Tech - (Flavors: Gassy, Citrus & Peppery), (Effects: Drowsy, Uplifting & Happy)",,,,,,1,1,grams,,,,,,,,,,,
,Animal Mintz x Point Break - Preroll 1g [Phat Panda],Animal Mintz x Point Break - Preroll 1g [Phat Panda],true,,phat panda,,Animal Mintz x Point Break,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. (Flavors: Coffee, Nutty, Vanilla & Pine), (Effects: Euphoria, Drowsy & Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Animal Punch - Preroll 1g [Phat Panda],Animal Punch - Preroll 1g [Phat Panda],true,,phat panda,,Animal Punch,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Animal Cookies x Purple Punch - (Flavors: Citrus, Sour & Sweet), (Effects: Creative, Relaxing & Euphoria)",,,,,,1,1,grams,,,,,,,,,,,
,Apple MAC - Preroll 1g [Phat Panda],Apple MAC - Preroll 1g [Phat Panda],true,,phat panda,,Apple MAC,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. MAC1 x Trophy Wife - (Flavors: Apple, Nutty & Sour), (Effects: Focus, Uplifting & Creative)",,,,,,1,1,grams,,,,,,,,,,,
,Apple Snax - Preroll 1g [Phat Panda],Apple Snax - Preroll 1g [Phat Panda],true,,phat panda,,Apple Snax,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Sour Apple x Animal Cookies (Flavors: Sweet, Sour & Pine), (Effects: Uplifting, Relaxed & Calming)",,,,,,1,1,grams,,,,,,,,,,,
,Area 509 - Preroll 1g [Phat Panda],Area 509 - Preroll 1g [Phat Panda],true,,phat panda,,Area 509,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. M.A.C x Weird Science (Flavors: Lemon, Pine, & Sweet), (Effects: Euphoria, Uplifting & Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Banana Cake - Preroll 1g [Phat Panda],Banana Cake - Preroll 1g [Phat Panda],true,,phat panda,,Banana Cake,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Banana OG x Cheesecake (Flavors: Creamy, Earthy, & Sweet) - (Effects: Euphoric, Relaxing, & Uplifting)",,,,,,1,1,grams,,,,,,,,,,,
,Banana OG - Preroll 1g [Phat Panda],Banana OG - Preroll 1g [Phat Panda],true,,phat panda,,Banana OG,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Banana x OG Kush (Flavors: Woody, Pine & Sweet), (Effects: Drowsy, Happy & Relaxed)",,,,,,1,1,grams,,,,,,,,,,,
,Bike Wreck - Preroll 1g [Phat Panda],Bike Wreck - Preroll 1g [Phat Panda],true,,phat panda,,Bike Wreck,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Cookie Wreck x Biker Kush (Flavors: Spicy, Fruity, Earthy) - (Effects : Euphoria, Sociable, & Creative)",,,,,,1,1,grams,,,,,,,,,,,
,Biker OG - Preroll 1g [Phat Panda],Biker OG - Preroll 1g [Phat Panda],true,,phat panda,,Biker OG,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Lucifer OG x Hells OG - (Flavors: Citrus, Lemon, & Pine), (Effects: Relaxing, Euphoria, & Creative)",,,,,,1,1,grams,,,,,,,,,,,
,Biscotti - Preroll 1g [Phat Panda],Biscotti - Preroll 1g [Phat Panda],true,,phat panda,,Biscotti,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Gelato 25 x South Florida OG (Flavors: Nutty,Spicy & Sugary), (Effects: Giggly, Relaxing & Uplifting)",,,,,,1,1,grams,,,,,,,,,,,
,Biscuits & Gravy - Preroll 1g [Phat Panda],Biscuits & Gravy - Preroll 1g [Phat Panda],true,,phat panda,,Biscuits & Gravy,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Ghost OG x Redneck Wedding (Flavors: Diesel, Herbal & Sweet),(Effects: Hungry, Relaxing & Uplifting)",,,,,,1,1,grams,,,,,,,,,,,
,Bitch Fuel - Preroll 1g [Phat Panda],Bitch Fuel - Preroll 1g [Phat Panda],true,,phat panda,,Bitch Fuel,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Aj's Sour Diesel x Trophy Wife (Flavors: Sweet, Sour & Woody), (Effects: Giggly, Sociable & Relaxed)",,,,,,1,1,grams,,,,,,,,,,,
,Bitch Fuel Remix - Preroll 1g [Phat Panda],Bitch Fuel Remix - Preroll 1g [Phat Panda],true,,phat panda,,Bitch Fuel Remix,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Blue City Diesel x Trophy Wife (Flavors: Peppery, Sweet & Woody), (Effects: Euphoria, Relaxing & Uplifting)",,,,,,1,1,grams,,,,,,,,,,,
,Black Lime Reserve - Preroll 1g [Phat Panda],Black Lime Reserve - Preroll 1g [Phat Panda],true,,phat panda,,Black Lime Reserve,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Northern Lights x Purple Kush x Chemdawg Special Reserve (Flavors: Lemon, Pine & Spicy), (Effects: Creative, Relaxing & Body High)",,,,,,1,1,grams,,,,,,,,,,,
,Black Out - Preroll 1g [Phat Panda],Black Out - Preroll 1g [Phat Panda],true,,phat panda,,Black Out,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Black Russian x Secret OG #10 (Flavors: Sage, Peppery & Spicy), (Effects: Relaxing, Body High & Euphoria)",,,,,,1,1,grams,,,,,,,,,,,
,Black Sparrow - Preroll 1g [Phat Panda],Black Sparrow - Preroll 1g [Phat Panda],true,,phat panda,,Black Sparrow,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Black Russian x Trophy Wife (Flavors: Woody, Sweet & Herbal), (Effects: Calming, Hungry & Drowsy)",,,,,,1,1,grams,,,,,,,,,,,
,Black Zoap - Preroll 1g [Phat Panda],Black Zoap - Preroll 1g [Phat Panda],true,,phat panda,,Black Zoap,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Rainbow Sherbet x Pink Guava (Flavors: Citrus, Berry & Sour), (Effects: Hungry, Giggly & Creative)",,,,,,1,1,grams,,,,,,,,,,,
,Blueberry Diesel - Preroll 1g [Phat Panda],Blueberry Diesel - Preroll 1g [Phat Panda],true,,phat panda,,Blueberry Diesel,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Banana Punch x Lemonade (Flavors: Pine, Sweet, & Sour), (Effects: Happy, Euphoria & Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Bluezz - Preroll 1g [Phat Panda],Bluezz - Preroll 1g [Phat Panda],true,,phat panda,,Bluezz,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Blue Dream x OG Kush (Flavors: Lemon, Sweet & Sour), (Effects: Creative, Euphoria & Happy)",,,,,,1,1,grams,,,,,,,,,,,
,Bone Collector - Preroll 1g [Phat Panda],Bone Collector - Preroll 1g [Phat Panda],true,,phat panda,,Bone Collector,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. MAC x Cow God (Flavors: Earthy, Minty, & Citrus) - (Effects: Creative, Relaxed, & Focused)",,,,,,1,1,grams,,,,,,,,,,,
,Bonkers - Preroll 1g [Phat Panda],Bonkers - Preroll 1g [Phat Panda],true,,phat panda,,Bonkers,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. High Life x Trophy Wife (Flavors: Creamy, Lemon, & Nutty), (Effects: Uplifting, Hungry, & Euphoria)",,,,,,1,1,grams,,,,,,,,,,,
,Bop Gun - Preroll 1g [Phat Panda],Bop Gun - Preroll 1g [Phat Panda],true,,phat panda,,Bop Gun,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Dosidos x Papaya (Flavors: Cheesy, Earthy, & Citrusy) - (Effects: Relaxed, Creative, & Euphoric)",,,,,,1,1,grams,,,,,,,,,,,
,Cake & Bake - Preroll 1g [Phat Panda],Cake & Bake - Preroll 1g [Phat Panda],true,,phat panda,,Cake & Bake,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. MAC1 x Redneck Wedding (Flavors: Nutty, Creamy & Earthy), (Effects: Drowsy, Relaxing & Calming)",,,,,,1,1,grams,,,,,,,,,,,
,Cake Walk - Preroll 1g [Phat Panda],Cake Walk - Preroll 1g [Phat Panda],true,,phat panda,,Cake Walk,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Kush Mintz x Trophy Wife (Flavors: Herbal, Nutty & Sweet), (Effects: Drowsy, Uplifting & Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Candy Gas - Preroll 1g [Phat Panda],Candy Gas - Preroll 1g [Phat Panda],true,,phat panda,,Candy Gas,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Kandy Kush x The OG #18 - (Flavors: Creamy, Gassy, & Sweet), (Effects: Relaxing, Focused & Calming)",,,,,,1,1,grams,,,,,,,,,,,
,Canna Tsu - Preroll 1g [Phat Panda],Canna Tsu - Preroll 1g [Phat Panda],true,,phat panda,,Canna Tsu,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Sour Tsunami x Cannatonic (Flavors: Pine, Spicy & Woody), (Effects: Calming, Mellow & Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Canna Tsu x Redneck Wedding - Preroll 1g [Phat Panda],Canna Tsu x Redneck Wedding - Preroll 1g [Phat Panda],true,,phat panda,,Canna Tsu x Redneck Wedding,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. (Flavors: Herbal, Pine, & Peppery), (Effects: Sociable, Motivated & Focused)",,,,,,1,1,grams,,,,,,,,,,,
,Carica Nectar - Preroll 1g [Phat Panda],Carica Nectar - Preroll 1g [Phat Panda],true,,phat panda,,Carica Nectar,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Lime Kush x Chem Diesel x Sour Diesel (Flavors: Peppery, Citrus & Herbal), (Effects: Calming, Energetic & Relaxed)",,,,,,1,1,grams,,,,,,,,,,,
,Cenex - Preroll 1g [Phat Panda],Cenex - Preroll 1g [Phat Panda],true,,phat panda,,Cenex,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Cinderella 99 x Vortex (Flavors: Citrus, Sweet, & Sour), (Effects: Happy, Uplifting & Focus)",,,,,,1,1,grams,,,,,,,,,,,
,Cheetah Piss - Preroll 1g [Phat Panda],Cheetah Piss - Preroll 1g [Phat Panda],true,,phat panda,,Cheetah Piss,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Lemonnade x Gelato x London Pound Cake (Flavors: Woody, Herbal, & Pine) - (Effects: Focused, Euphoric, & Sociable)",,,,,,1,1,grams,,,,,,,,,,,
,Cherry Bomb - Preroll 1g [Phat Panda],Cherry Bomb - Preroll 1g [Phat Panda],true,,phat panda,,Cherry Bomb,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Purple Punch x Cherry Temple (Flavors: Berry, Sweet & Woody), (Effects: Focus, Relaxing, & Drowsy)",,,,,,1,1,grams,,,,,,,,,,,
,Cherry Cookies - Preroll 1g [Phat Panda],Cherry Cookies - Preroll 1g [Phat Panda],true,,phat panda,,Cherry Cookies,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Cherry Pie x Girl Scout Cookies (Flavors: Sweet, Tangy & Woody), (Effects: Creative, Euphoria & Happy)",,,,,,1,1,grams,,,,,,,,,,,
,Cherry Mintz x Redneck Wedding - Preroll 1g [Phat Panda],Cherry Mintz x Redneck Wedding - Preroll 1g [Phat Panda],true,,phat panda,,Cherry Mintz x Redneck Wedding,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. (Flavors: Earthy, Sweet & Peppery), (Effects: Relaxing, Hungry & Euphoria)",,,,,,1,1,grams,,,,,,,,,,,
,Cherrylicious - Preroll 1g [Phat Panda],Cherrylicious - Preroll 1g [Phat Panda],true,,phat panda,,Cherrylicious,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Forbidden Fruit x Cherry Temple (Flavors: Berry, Cherry & Skunky), (Effects: Focus, Creative, Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Cherryzzz - Preroll 1g [Phat Panda],Cherryzzz - Preroll 1g [Phat Panda],true,,phat panda,,Cherryzzz,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. (Cherry Cookies x Orange Zkittlez (Flavors: Candy, Sour & Pine), (Effects: Tingly, Relaxing & Euphoric)",,,,,,1,1,grams,,,,,,,,,,,
,Citron - Preroll 1g [Phat Panda],Citron - Preroll 1g [Phat Panda],true,,phat panda,,Citron,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. OG Kush BX (Flavors: Lemon, Sour & Citrus), (Effects: Happy, Relaxing & Uplifting)",,,,,,1,1,grams,,,,,,,,,,,
,Colorado Chem - Preroll 1g [Phat Panda],Colorado Chem - Preroll 1g [Phat Panda],true,,phat panda,,Colorado Chem,,Preroll,,,,,"A 1g preroll of Panda Premium flower. Afghani x Thai x Chemdawg (Flavors: Lemon, Pine & Skunky), (Effects: Creative, Focus & Giggly)",,,,,,1,1,grams,,,,,,,,,,,
,Cookies & Cream - Preroll 1g [Phat Panda],Cookies & Cream - Preroll 1g [Phat Panda],true,,phat panda,,Cookies & Cream,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. GSC X Starfighter F2 (Flavors: Nutty, Vanilla & Earthy), (Effects: Relaxing, Uplifting & Calming)",,,,,,1,1,grams,,,,,,,,,,,
,Cookies n' Cake - Preroll 1g [Phat Panda],Cookies n' Cake - Preroll 1g [Phat Panda],true,,phat panda,,Cookies n' Cake,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. - Cookies & Cream x Wedding Cake (Flavors: Creamy, Nutty & Earthy), (Effects: Creative, Happy & Sociable)",,,,,,1,1,grams,,,,,,,,,,,
,Cosmic Cherries - Preroll 1g [Phat Panda],Cosmic Cherries - Preroll 1g [Phat Panda],true,,phat panda,,Cosmic Cherries,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. MAC1 x Cherry Pie (Flavors: Vanilla, Cookies & Peppery), (Effects: Euphoria, Hungry & Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Crash Glow - Preroll 1g [Phat Panda],Crash Glow - Preroll 1g [Phat Panda],true,,phat panda,,Crash Glow,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Dayglow x Grape Cream Cake F2 (Flavors: Creamy, Woody & Earthy), (Effects: Drowsy, Hungry & Calming)",,,,,,1,1,grams,,,,,,,,,,,
,Cream Puffs - Preroll 1g [Phat Panda],Cream Puffs - Preroll 1g [Phat Panda],true,,phat panda,,Cream Puffs,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Whipped Cream x Grateful Puff (Flavors: Berry, Cheesy & Sweet), (Effects: Calming, Relaxing & Euphoria)",,,,,,1,1,grams,,,,,,,,,,,
,Dank Draaank - Preroll 1g [Phat Panda],Dank Draaank - Preroll 1g [Phat Panda],true,,phat panda,,Dank Draaank,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. Purple Punch x Terpee Slurpee (Flavors: Sweet, Fruity, & Diesel), (Effects: Euphoria, Relaxing, & Calming)",,,,,,1,1,grams,,,,,,,,,,,
,Dirty Little Secret - Preroll 1g [Phat Panda],Dirty Little Secret - Preroll 1g [Phat Panda],true,,phat panda,,Dirty Little Secret,,Preroll,,,,,"A 1g preroll of Phat Panda Premium flower. GMO x Secret OG (Flavor: Cherry, Earthy & Woody), (Effects: Sociable, Relaxing & Calming)",,,,,,1,1,grams,,,,,,,,,,,
,Dosidos - Preroll 1g [Phat Panda],Dosidos - Preroll 1g [Phat Panda],true,,phat panda,,Dosidos,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. Girl Scout Cookies x Face Off OG (Flavors: Nutty, Pine & Spicy), (Effects: Uplifting, Euphoria & Relaxing)",,,,,,1,1,grams,,,,,,,,,,,
,Dosidos x Redneck Wedding - Preroll 1g [Phat Panda],Dosidos x Redneck Wedding - Preroll 1g [Phat Panda],true,,phat panda,,Dosidos x Redneck Wedding,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. (Flavors: Nutty, Pine & Sweet), (Effects: Drowsy, Hungry & Euphoria)",,,,,,1,1,grams,,,,,,,,,,,
,Dream Beaver - Preroll 1g [Phat Panda],Dream Beaver - Preroll 1g [Phat Panda],true,,phat panda,,Dream Beaver,,Preroll,,,,,"A 1g preroll of 1g Phat Panda Premuim flower. Dirty Hippie x Appalachia (Flavors: Pine, Citrus & Woody), (Effects: Sociable, Giggly & Motivation)",,,,,,1,1,grams,,,,,,,,,,,
,Durban Porison - Preroll 1g [Phat Panda],Durban Porison - Preroll 1g [Phat Panda],true,,phat panda,,Durban Porison,,Preroll,,,,,"1g preroll of Phat Panda Premium flower. South African Sativa (Flavors: Pine, Citrus & Herbal), (Effects: Creative, Focus & Euphoria)",,,,,,1,1,grams,,,,,,,,,,,
